Unnamed: 0,adress3,City3,zip_code3,bad3,bath3,Area3,parking3,AC3,Appliances3,price2,Dishwasher1,Refrigerator1,Disposal1,Microwave1,country
464,3529 N HILLS DR APT B,"Austin, TX",78731.0,2,2,"1,000",1,Yes,"Dishwasher, Disposal, Electric Range, Microwave, Electric Oven, Refrigerator",143382.0,yes,no,no,no,USA
465,913 E 48TH ST,"Austin, TX",78751.0,2,1,800,3,Yes,"Disposal, Dryer, Gas Range, Microwave, Refrigerator, Stainless Steel Appliance(s), Washer, Water Heater-gas",153772.0,no,no,yes,no,USA
466,1812 WOOTEN PARK DR # 101,"Austin, TX",78757.0,2,2,948,2,Yes,"Dishwasher, Disposal, Dryer, Gas Range, Free-standing Range, Refrigerator, Washer",141221.0,yes,no,no,no,USA
467,166 WORLD OF TENNIS SQ # A177,"Lakeway, TX",78738.0,2,3,"1,610",No Info,Yes,"Dishwasher, Disposal, Dryer, Exhaust Fan, Microwave, Electric Oven, Plumbed For Ice Maker, Rnghd, Refrigerator, Self Cleaning Oven, Stainless Steel Appliance(s), Vented Exhaust Fan, Washer/Dryer, Water Heater-electric",174552.0,yes,no,no,no,USA
468,706 W 34TH ST APT 101,"Austin, TX",78705.0,2,1,"1,360",1,Yes,"Dishwasher, Dryer, Gas Range, Free-standing Range, Refrigerator, Washer",145460.0,yes,no,no,no,USA
469,1509 W 29TH ST # B,"Austin, TX",78703.0,2,1,874,1,Yes,"Microwave, Oven, Range, Refrigerator",191176.0,no,no,no,yes,USA
470,3212 RED RIVER ST APT 115,"Austin, TX",78705.0,2,1,795,47,Yes,"Electric Range, Microwave, Free-standing Range, Refrigerator",149616.0,no,no,no,no,USA
471,516 E SLAUGHTER LN APT 3001,"Austin, TX",78744.0,2,3,"1,494",4,Yes,"Dishwasher, Disposal, Electric Cooktop, Microwave, Refrigerator, Washer/Dryer",182864.0,yes,no,no,no,USA
472,504 W NORTH LOOP BLVD # B,"Austin, TX",78751.0,2,2,"1,000",No Info,Yes,"Dishwasher, Disposal, Gas Range, Microwave, Free-standing Range, Refrigerator",190760.0,yes,no,no,no,USA
473,3212 RED RIVER ST APT 205,"Austin, TX",78705.0,1,1,728,47,Yes,"Electric Range, Microwave, Free-standing Range, Refrigerator",128836.0,no,no,no,no,USA
474,7805 COOPER LN UNIT 208,"Austin, TX",78745.0,2,3,"1,220",2,Yes,"Built-in Electric Oven, Dishwasher, Microwave, Washer/Dryer",141304.0,no,no,no,no,USA
475,4409 SINCLAIR AVE # A,"Austin, TX",78756.0,2,2,"1,219",2,Yes,"Dishwasher, Exhaust Fan, Gas Range, Gas Oven, Refrigerator, Washer/Dryer, Water Heater-gas",137148.0,yes,no,no,no,USA
476,3212 RED RIVER ST APT 113,"Austin, TX",78705.0,2,1,795,47,Yes,"Electric Range, Microwave, Free-standing Range, Refrigerator",149616.0,no,no,no,no,USA
477,1801 WOOTEN PARK DR APT 103,"Austin, TX",78757.0,1,2,800,2,Yes,"Dishwasher, Disposal, Electric Range, Free-standing Range, Refrigerator",124597.0,yes,no,no,no,USA
478,1907 1/2 E 16TH ST,"Austin, TX",78702.0,2,1,660,2,Yes,"Disposal, Microwave, Range, Refrigerator",191176.0,no,no,yes,no,USA
479,3212 RED RIVER ST APT 109,"Austin, TX",78705.0,2,2,"1,087",47,Yes,"Electric Range, Microwave, Free-standing Range, Refrigerator",174552.0,no,no,no,no,USA
480,601 NELRAY BLVD APT 3,"Austin, TX",78751.0,2,2,554,2,Yes,"Dishwasher, Disposal, Microwave, Free-standing Range, Refrigerator",132576.0,yes,no,no,no,USA
481,3212 RED RIVER ST APT 112,"Austin, TX",78705.0,2,1,795,47,Yes,"Electric Range, Microwave, Free-standing Range, Refrigerator",149616.0,no,no,no,no,USA
482,2905 ROBINSON AVE # B,"Austin, TX",78722.0,2,1,900,2,Yes,"Energy Star Qualified Appliances, Washer/Dryer",182864.0,no,no,no,no,USA
483,3212 RED RIVER ST APT 104,"Austin, TX",78705.0,1,1,644,47,Yes,"Electric Range, Microwave, Free-standing Range, Refrigerator",124680.0,no,no,no,no,USA
484,1307 KINNEY AVE APT 148,"Austin, TX",78704.0,2,3,"1,101",2,Yes,"Dishwasher, Disposal, Dryer, Exhaust Fan, Microwave, Free-standing Electric Range, Refrigerator, Washer",224424.0,yes,no,no,no,USA
485,1601 FARO DR APT 402,"Austin, TX",78741.0,1,2,954,1,Yes,"Convection Oven, Dishwasher, Disposal, Free-standing Range, Refrigerator",137148.0,no,no,no,no,USA
486,3212 RED RIVER ST APT 213,"Austin, TX",78705.0,2,1,795,47,Yes,"Electric Range, Microwave, Free-standing Range, Refrigerator",149616.0,no,no,no,no,USA
487,11809 ARGONNE FOREST TRL # B,"Austin, TX",78759.0,2,2,"1,000",1,Yes,"Dishwasher, Oven, Range, Free-standing Gas Range, Rnghd, Refrigerator",128753.0,yes,no,no,no,USA
488,3212 RED RIVER ST APT 111,"Austin, TX",78705.0,2,2,"1,087",47,Yes,"Electric Range, Microwave, Free-standing Range, Refrigerator",174552.0,no,no,no,no,USA
489,3212 RED RIVER ST APT 108,"Austin, TX",78705.0,1,1,767,47,Yes,"Electric Range, Microwave, Free-standing Range, Refrigerator",124680.0,no,no,no,no,USA
